agent_id,mobility_type,start_pos,start_time,end_time,distance,steps,evacuated,impacted_by_landslide,stuck,final_pos,time_spent
0,NON_PWD,"(185, 109)",0,241,33.24154027718932,33,False,False,True,"(152, 113)",241
1,INTELLECTUAL,"(213, 76)",0,4,4.123105625617661,4,False,True,False,"(209, 77)",4
2,NON_PWD,"(116, 138)",0,161,123.03251602726817,117,True,False,False,"(0, 179)",161
3,NON_PWD,"(192, 110)",0,247,33.24154027718932,33,False,False,True,"(159, 106)",247
4,NON_PWD,"(119, 156)",0,190,121.2023102090055,129,True,False,False,"(0, 179)",190
5,NON_PWD,"(56, 136)",0,73,70.60453243241541,57,True,False,False,"(0, 179)",73
6,NON_PWD,"(112, 97)",0,147,138.80922159568507,113,True,False,False,"(0, 179)",147
7,NON_PWD,"(193, 25)",0,258,61.5223536610881,47,False,False,True,"(149, 68)",258
8,NON_PWD,"(32, 177)",0,37,32.0624390837628,32,True,False,False,"(0, 179)",37
9,MOTOR,"(156, 21)",0,215,16.97056274847714,12,False,False,True,"(144, 33)",215
10,NON_PWD,"(81, 159)",0,114,83.43260753446461,81,True,False,False,"(0, 179)",114
11,NON_PWD,"(149, 128)",0,18,24.758836806279895,18,False,True,False,"(131, 145)",18
12,NON_PWD,"(170, 52)",0,226,35.35533905932738,25,False,False,True,"(145, 77)",226
13,NON_PWD,"(104, 97)",0,143,132.43866504914644,106,True,False,False,"(0, 179)",143
14,NON_PWD,"(114, 118)",0,148,129.29423807734048,115,True,False,False,"(0, 179)",148
15,NON_PWD,"(74, 37)",0,4,7.0710678118654755,5,False,True,False,"(69, 42)",4
16,NON_PWD,"(193, 27)",0,257,61.554853586049575,48,False,False,True,"(148, 69)",257
17,NON_PWD,"(51, 162)",0,58,53.75872022286245,51,True,False,False,"(0, 179)",58
18,NON_PWD,"(154, 145)",0,18,19.1049731745428,19,False,True,False,"(135, 147)",18
19,MOTOR,"(70, 44)",0,5,7.0710678118654755,5,False,True,False,"(65, 49)",5
20,NON_PWD,"(66, 135)",0,82,79.32212806020776,67,True,False,False,"(0, 179)",82
21,NON_PWD,"(1, 115)",0,67,64.00781202322104,64,True,False,False,"(0, 179)",67
22,NON_PWD,"(92, 42)",0,5,8.48528137423857,6,False,True,False,"(86, 48)",5
23,NON_PWD,"(31, 122)",0,68,64.88451279003334,57,True,False,False,"(0, 179)",68
24,NON_PWD,"(48, 59)",0,7,7.0710678118654755,5,False,True,False,"(53, 64)",7
25,NON_PWD,"(58, 51)",0,6,5.656854249492381,4,False,True,False,"(54, 55)",6
26,NON_PWD,"(208, 122)",0,255,42.20189569201838,41,False,False,True,"(167, 112)",255
27,NON_PWD,"(187, 140)",0,231,31.016124838541646,29,False,False,True,"(158, 151)",231
28,NON_PWD,"(76, 162)",0,106,77.87810988975015,76,True,False,False,"(0, 179)",106
29,NON_PWD,"(124, 179)",0,167,124.0,124,True,False,False,"(0, 179)",167
30,NON_PWD,"(54, 163)",0,69,56.32051136131489,54,True,False,False,"(0, 179)",69
31,NON_PWD,"(42, 31)",0,217,153.8440769090575,148,True,False,False,"(0, 179)",217
32,NON_PWD,"(100, 26)",0,210,12.727922061357855,9,False,False,True,"(91, 35)",210
33,NON_PWD,"(88, 118)",0,124,107.07474025184464,89,True,False,False,"(0, 179)",124
34,NON_PWD,"(73, 92)",0,12,11.045361017187261,12,False,True,False,"(72, 103)",12
35,NON_PWD,"(187, 103)",0,241,35.17101079013795,36,False,False,True,"(153, 112)",241
36,NON_PWD,"(28, 83)",0,12,11.180339887498949,11,False,True,False,"(26, 94)",12
37,NON_PWD,"(147, 108)",0,15,18.384776310850235,13,False,True,False,"(134, 121)",15
38,NON_PWD,"(165, 48)",0,227,31.240998703626616,24,False,False,True,"(145, 72)",227
39,NON_PWD,"(127, 16)",0,2,4.242640687119285,3,False,True,False,"(124, 19)",2
40,NON_PWD,"(56, 170)",0,86,56.71860364994893,56,True,False,False,"(0, 179)",86
41,NON_PWD,"(203, 171)",0,293,203.15757431117353,203,True,False,False,"(0, 179)",293
42,NON_PWD,"(150, 54)",0,207,9.899494936611665,7,False,False,True,"(143, 61)",207
43,NON_PWD,"(191, 165)",0,271,191.51240168720145,191,True,False,False,"(0, 179)",271
44,NON_PWD,"(207, 119)",0,253,44.14748010928823,43,False,False,True,"(164, 109)",253
45,NON_PWD,"(60, 36)",0,216,21.213203435596427,15,False,False,True,"(45, 51)",216
46,NON_PWD,"(50, 34)",0,221,153.37861650177967,145,True,False,False,"(0, 179)",221
47,NON_PWD,"(72, 10)",0,250,183.69812192834198,169,True,False,False,"(0, 179)",250
48,NON_PWD,"(85, 9)",0,211,12.727922061357855,9,False,False,True,"(76, 18)",211
49,NON_PWD,"(170, 25)",0,226,32.802438933713454,26,False,False,True,"(144, 45)",226
50,NON_PWD,"(113, 171)",0,146,113.28283188550682,113,True,False,False,"(0, 179)",146
51,NON_PWD,"(181, 131)",0,230,27.80287754891569,24,False,False,True,"(159, 148)",230
52,NON_PWD,"(41, 39)",0,199,145.8800877433243,140,True,False,False,"(0, 179)",199
53,NON_PWD,"(140, 51)",0,7,8.48528137423857,6,False,True,False,"(134, 57)",7
54,NON_PWD,"(59, 13)",0,245,176.17321022221284,166,True,False,False,"(0, 179)",245
55,NON_PWD,"(130, 43)",0,5,5.656854249492381,4,False,True,False,"(126, 47)",5
56,NON_PWD,"(183, 98)",0,241,39.21734310225516,37,False,False,True,"(146, 111)",241
57,NON_PWD,"(119, 24)",0,3,5.656854249492381,4,False,True,False,"(115, 28)",3
58,NON_PWD,"(150, 97)",0,13,15.556349186104045,11,False,True,False,"(139, 108)",13
59,NON_PWD,"(97, 103)",0,136,123.22743201089601,100,True,False,False,"(0, 179)",136
60,NON_PWD,"(185, 174)",0,257,185.06755523321746,185,True,False,False,"(0, 179)",257
61,NON_PWD,"(165, 60)",0,221,26.870057685088806,19,False,False,True,"(146, 79)",221
