agent_id,mobility_type,start_pos,start_time,end_time,distance,steps,evacuated,impacted_by_landslide,stuck,final_pos,time_spent
0,NON_PWD,"(179, 54)",0,348,218.32544515012444,180,True,False,False,"(0, 179)",348
1,NON_PWD,"(37, 65)",0,171,119.85407794480753,114,True,False,False,"(0, 179)",171
2,VISUAL,"(120, 37)",0,366,185.9139585937538,156,True,False,False,"(0, 179)",366
3,NON_PWD,"(149, 174)",0,228,149.08386901338454,149,True,False,False,"(0, 179)",228
4,NON_PWD,"(168, 27)",0,367,226.55683613610074,185,True,False,False,"(0, 179)",367
5,NON_PWD,"(109, 8)",0,312,202.7856010667424,174,True,False,False,"(0, 179)",312
6,NON_PWD,"(165, 11)",0,398,235.47611343828487,193,True,False,False,"(0, 179)",398
7,NON_PWD,"(17, 174)",0,25,17.72004514666935,18,True,False,False,"(0, 179)",25
8,NON_PWD,"(193, 56)",0,425,228.86240407720967,194,True,False,False,"(0, 179)",425
9,NON_PWD,"(117, 136)",0,184,124.65151423067431,118,True,False,False,"(0, 179)",184
10,NON_PWD,"(81, 38)",0,197,162.60996279441184,141,True,False,False,"(0, 179)",197
11,NON_PWD,"(108, 174)",0,126,108.11567878897121,109,True,False,False,"(0, 179)",126
12,NON_PWD,"(202, 111)",0,499,213.13845265460665,203,True,False,False,"(0, 179)",499
13,NON_PWD,"(107, 134)",0,148,116.0775602776006,109,True,False,False,"(0, 179)",148
14,INTELLECTUAL,"(108, 121)",0,198,122.58874336577564,109,True,False,False,"(0, 179)",198
15,NON_PWD,"(165, 26)",0,368,225.01999911119012,182,True,False,False,"(0, 179)",368
16,NON_PWD,"(9, 70)",0,131,109.37092849564732,109,True,False,False,"(0, 179)",131
17,NON_PWD,"(14, 127)",0,76,53.85164807134504,52,True,False,False,"(0, 179)",76
18,NON_PWD,"(141, 32)",0,359,203.69094236121546,169,True,False,False,"(0, 179)",359
19,NON_PWD,"(66, 37)",0,229,156.58863304850706,142,True,False,False,"(0, 179)",229
20,NON_PWD,"(89, 18)",0,250,183.96195258802837,163,True,False,False,"(0, 179)",250
21,NON_PWD,"(135, 33)",0,349,198.84918908559823,167,True,False,False,"(0, 179)",349
22,NON_PWD,"(186, 137)",0,396,190.68298298484845,187,True,False,False,"(0, 179)",396
23,NON_PWD,"(25, 55)",0,190,126.49505919204908,124,True,False,False,"(0, 179)",190
