agent_id,mobility_type,start_pos,start_time,end_time,distance,steps,evacuated,impacted_by_landslide,stuck,final_pos,time_spent
0,NON_PWD,"(167, 82)",0,255,193.12690128513947,168,True,False,False,"(0, 179)",255
1,NON_PWD,"(131, 125)",0,199,141.69333082400175,132,True,False,False,"(0, 179)",199
2,NON_PWD,"(137, 5)",0,396,221.46105752479374,177,True,False,False,"(0, 179)",396
3,NON_PWD,"(40, 149)",0,44,50.0,41,True,False,False,"(0, 179)",44
4,NON_PWD,"(143, 0)",0,400,229.10696191953662,182,True,False,False,"(0, 179)",400
5,NON_PWD,"(127, 21)",0,369,202.71408436514716,163,True,False,False,"(0, 179)",369
6,NON_PWD,"(20, 65)",0,221,115.7410903698423,114,True,False,False,"(0, 179)",221
7,MOTOR,"(99, 18)",0,285,189.0026454841307,164,True,False,False,"(0, 179)",285
8,NON_PWD,"(199, 137)",0,444,203.38387350033435,201,True,False,False,"(0, 179)",444
9,NON_PWD,"(140, 166)",0,193,140.60227594174995,140,True,False,False,"(0, 179)",193
10,MOTOR,"(199, 129)",0,504,205.1852821232556,200,True,False,False,"(0, 179)",504
11,NON_PWD,"(169, 109)",0,344,182.92348127017482,170,True,False,False,"(0, 179)",344
12,NON_PWD,"(130, 16)",0,381,208.4922060893404,166,True,False,False,"(0, 179)",381
13,NON_PWD,"(185, 166)",0,262,185.4561942885705,185,True,False,False,"(0, 179)",262
14,NON_PWD,"(98, 179)",0,123,98.0,98,True,False,False,"(0, 179)",123
15,VISUAL,"(148, 16)",0,431,220.16584657934573,184,True,False,False,"(0, 179)",431
16,NON_PWD,"(72, 52)",0,182,145.98972566588375,130,True,False,False,"(0, 179)",182
17,NON_PWD,"(167, 89)",0,311,189.70766985021982,168,True,False,False,"(0, 179)",311
18,NON_PWD,"(218, 103)",0,541,230.8679276123039,219,True,False,False,"(0, 179)",541
19,NON_PWD,"(187, 176)",0,287,187.0240626229684,187,True,False,False,"(0, 179)",287
20,NON_PWD,"(158, 97)",0,299,178.01123560045303,159,True,False,False,"(0, 179)",299
21,NON_PWD,"(145, 54)",0,319,191.44189719076647,159,True,False,False,"(0, 179)",319
22,NON_PWD,"(61, 54)",0,190,139.0898989862312,125,True,False,False,"(0, 179)",190
23,NON_PWD,"(77, 165)",0,105,78.26237921249263,77,True,False,False,"(0, 179)",105
24,NON_PWD,"(36, 75)",0,164,110.05453193758083,104,True,False,False,"(0, 179)",164
25,NON_PWD,"(201, 61)",0,380,233.0772404161333,202,True,False,False,"(0, 179)",380
26,NON_PWD,"(110, 26)",0,338,188.43831882077487,156,True,False,False,"(0, 179)",338
27,NON_PWD,"(1, 83)",0,132,96.00520819205592,96,True,False,False,"(0, 179)",132
28,NON_PWD,"(166, 88)",0,300,189.30662957223657,167,True,False,False,"(0, 179)",300
29,NON_PWD,"(145, 91)",0,263,169.61426826773743,146,True,False,False,"(0, 179)",263
30,NON_PWD,"(80, 44)",0,237,156.92354826475216,138,True,False,False,"(0, 179)",237
31,NON_PWD,"(193, 50)",0,354,232.14219780126146,194,True,False,False,"(0, 179)",354
32,NON_PWD,"(5, 92)",0,122,87.14355971613737,87,True,False,False,"(0, 179)",122
33,INTELLECTUAL,"(175, 132)",0,384,181.2015452472743,178,True,False,False,"(0, 179)",384
34,NON_PWD,"(164, 69)",0,299,197.47404892795407,165,True,False,False,"(0, 179)",299
35,NON_PWD,"(40, 134)",0,53,60.207972893961475,45,True,False,False,"(0, 179)",53
36,NON_PWD,"(210, 175)",0,388,210.03809178337153,210,True,False,False,"(0, 179)",388
37,NON_PWD,"(131, 35)",0,355,194.67151820438448,165,True,False,False,"(0, 179)",355
38,NON_PWD,"(200, 152)",0,431,201.8142710513803,201,True,False,False,"(0, 179)",431
