agent_id,mobility_type,start_pos,start_time,end_time,distance,steps,evacuated,impacted_by_landslide,stuck,final_pos,time_spent
0,NON_PWD,"(185, 111)",0,90,186.81541692269406,175,False,False,False,"(133, 128)",90
1,NON_PWD,"(59, 46)",0,187,145.49914089093448,133,True,False,False,"(0, 179)",187
2,NON_PWD,"(65, 165)",0,86,66.49060083951716,65,True,False,False,"(0, 179)",86
3,NON_PWD,"(188, 143)",0,349,191.41577782408638,189,True,False,False,"(0, 179)",349
4,NON_PWD,"(105, 45)",0,232,170.23806859806652,137,True,False,False,"(0, 179)",232
5,NON_PWD,"(10, 76)",0,147,103.4842983258813,103,True,False,False,"(0, 179)",147
6,VISUAL,"(70, 37)",0,258,158.3161394173064,142,True,False,False,"(0, 179)",258
7,NON_PWD,"(154, 147)",0,266,157.2895419282541,155,True,False,False,"(0, 179)",266
8,NON_PWD,"(151, 13)",0,382,224.4036541591959,187,True,False,False,"(0, 179)",382
9,NON_PWD,"(105, 3)",0,282,204.94145505485218,179,True,False,False,"(0, 179)",282
10,NON_PWD,"(116, 24)",0,337,193.60010330575756,158,True,False,False,"(0, 179)",337
11,NON_PWD,"(65, 33)",0,233,159.8155186457185,146,True,False,False,"(0, 179)",233
12,NON_PWD,"(128, 78)",0,251,163.04907236779974,129,True,False,False,"(0, 179)",251
13,NON_PWD,"(53, 134)",0,70,69.52697318307479,54,True,False,False,"(0, 179)",70
14,NON_PWD,"(72, 74)",0,166,127.31457104353767,108,True,False,False,"(0, 179)",166
15,NON_PWD,"(112, 37)",0,283,180.8535318980528,148,True,False,False,"(0, 179)",283
16,NON_PWD,"(111, 84)",0,225,146.102703602637,119,True,False,False,"(0, 179)",225
17,NON_PWD,"(193, 79)",0,353,217.36835096213983,194,True,False,False,"(0, 179)",353
18,NON_PWD,"(10, 85)",0,137,94.53041838477179,94,True,False,False,"(0, 179)",137
19,NON_PWD,"(144, 108)",0,240,160.55217220579732,145,True,False,False,"(0, 179)",240
20,NON_PWD,"(86, 129)",0,148,99.4786409235671,87,True,False,False,"(0, 179)",148
