agent_id,mobility_type,start_pos,start_time,end_time,distance,steps,evacuated,impacted_by_landslide,stuck,final_pos,time_spent
0,NON_PWD,"(167, 82)",0,255,193.12690128513947,168,True,False,False,"(0, 179)",255
1,NON_PWD,"(131, 125)",0,199,141.69333082400175,132,True,False,False,"(0, 179)",199
2,NON_PWD,"(137, 5)",0,90,160.60199251565965,131,False,False,False,"(94, 62)",90
3,NON_PWD,"(40, 149)",0,44,50.0,41,True,False,False,"(0, 179)",44
4,NON_PWD,"(143, 0)",0,90,167.4305826305338,135,False,False,False,"(93, 61)",90
5,NON_PWD,"(127, 21)",0,90,157.610278852618,130,False,False,False,"(89, 73)",90
6,NON_PWD,"(20, 65)",0,221,115.7410903698423,114,True,False,False,"(0, 179)",221
7,MOTOR,"(99, 18)",0,90,177.67385851610248,155,False,False,False,"(67, 84)",90
8,NON_PWD,"(199, 137)",0,90,131.46862743635836,130,False,False,False,"(127, 151)",90
9,NON_PWD,"(140, 166)",0,193,140.60227594174995,140,True,False,False,"(0, 179)",193
10,MOTOR,"(199, 129)",0,90,111.80339887498948,111,False,False,False,"(134, 127)",90
11,NON_PWD,"(169, 109)",0,90,145.89036979869508,129,False,False,False,"(109, 141)",90
12,NON_PWD,"(130, 16)",0,90,153.60013020827813,126,False,False,False,"(91, 67)",90
13,NON_PWD,"(185, 166)",0,262,185.4561942885705,185,True,False,False,"(0, 179)",262
14,NON_PWD,"(98, 179)",0,123,98.0,98,True,False,False,"(0, 179)",123
15,VISUAL,"(148, 16)",0,90,131.04579352272242,116,False,False,False,"(91, 55)",90
16,NON_PWD,"(72, 52)",0,182,145.98972566588375,130,True,False,False,"(0, 179)",182
17,NON_PWD,"(167, 89)",0,90,168.11900546934007,143,False,False,False,"(98, 144)",90
18,NON_PWD,"(218, 103)",0,90,118.59595271340417,113,False,False,False,"(156, 109)",90
19,NON_PWD,"(187, 176)",0,90,176.02556632489498,176,False,False,False,"(117, 179)",90
20,NON_PWD,"(158, 97)",0,90,162.24672569885655,141,False,False,False,"(92, 145)",90
21,NON_PWD,"(145, 54)",0,90,165.75886099994776,137,False,False,False,"(98, 103)",90
22,NON_PWD,"(61, 54)",0,190,139.0898989862312,125,True,False,False,"(0, 179)",190
23,NON_PWD,"(77, 165)",0,105,78.26237921249263,77,True,False,False,"(0, 179)",105
24,NON_PWD,"(36, 75)",0,164,110.05453193758083,104,True,False,False,"(0, 179)",164
25,NON_PWD,"(201, 61)",0,90,190.06577808748213,150,False,False,False,"(120, 133)",90
26,NON_PWD,"(110, 26)",0,90,158.93709447451215,134,False,False,False,"(85, 79)",90
27,NON_PWD,"(1, 83)",0,132,96.00520819205592,96,True,False,False,"(0, 179)",132
28,NON_PWD,"(166, 88)",0,90,172.03778654702577,147,False,False,False,"(93, 144)",90
29,NON_PWD,"(145, 91)",0,263,169.61426826773743,146,True,False,False,"(0, 179)",263
30,NON_PWD,"(80, 44)",0,237,156.92354826475216,138,True,False,False,"(0, 179)",237
31,NON_PWD,"(193, 50)",0,90,189.99473676920633,157,False,False,False,"(121, 88)",90
32,NON_PWD,"(5, 92)",0,122,87.14355971613737,87,True,False,False,"(0, 179)",122
33,INTELLECTUAL,"(175, 132)",0,90,130.74020039758238,125,False,False,False,"(115, 142)",90
34,NON_PWD,"(164, 69)",0,90,182.7840255602223,151,False,False,False,"(95, 107)",90
35,NON_PWD,"(40, 134)",0,53,60.207972893961475,45,True,False,False,"(0, 179)",53
36,NON_PWD,"(210, 175)",0,90,154.0519392932137,154,False,False,False,"(142, 174)",90
37,NON_PWD,"(131, 35)",0,90,155.05160431288675,136,False,False,False,"(87, 76)",90
38,NON_PWD,"(200, 152)",0,90,134.35028842544403,134,False,False,False,"(122, 148)",90
