agent_id,mobility_type,start_pos,start_time,end_time,distance,steps,evacuated,impacted_by_landslide,stuck,final_pos,time_spent
0,NON_PWD,"(62, 133)",0,90,73.81734213584231,60,False,False,False,"(2, 176)",90
1,NON_PWD,"(170, 43)",0,90,35.4682957019364,27,False,False,False,"(147, 70)",90
2,NON_PWD,"(11, 59)",0,90,72.83543093852057,72,False,False,False,"(0, 131)",90
3,INTELLECTUAL,"(7, 129)",0,60,50.48762224545735,50,True,False,False,"(0, 179)",60
4,NON_PWD,"(192, 106)",0,90,32.01562118716424,32,False,False,False,"(160, 105)",90
5,NON_PWD,"(181, 27)",0,90,45.967379738244816,33,False,False,False,"(148, 59)",90
6,MOTOR,"(0, 91)",0,90,58.42088667591412,58,False,False,False,"(7, 149)",90
7,NON_PWD,"(170, 168)",0,90,72.83543093852057,72,False,False,False,"(98, 179)",90
8,NON_PWD,"(95, 46)",0,90,93.81364506296512,83,False,False,False,"(46, 126)",90
9,NON_PWD,"(14, 98)",0,90,55.226805085936306,55,False,False,False,"(9, 153)",90
10,NON_PWD,"(37, 100)",0,90,75.17978451685,66,False,False,False,"(1, 166)",90
11,NON_PWD,"(82, 34)",0,90,74.88658090739622,62,False,False,False,"(40, 96)",90
12,NON_PWD,"(10, 90)",0,90,54.589376255824725,54,False,False,False,"(2, 144)",90
13,NON_PWD,"(14, 135)",0,65,46.17358552246078,44,True,False,False,"(0, 179)",65
14,NON_PWD,"(69, 165)",0,90,58.69412236331676,57,False,False,False,"(12, 179)",90
15,NON_PWD,"(13, 87)",0,90,53.600373133029585,52,False,False,False,"(0, 139)",90
16,NON_PWD,"(105, 83)",0,90,70.0,56,False,False,False,"(63, 139)",90
17,NON_PWD,"(25, 161)",0,29,30.805843601498726,26,True,False,False,"(0, 179)",29
18,NON_PWD,"(104, 87)",0,90,70.43436661176133,55,False,False,False,"(60, 142)",90
19,NON_PWD,"(159, 152)",0,18,18.681541692269406,18,False,True,False,"(141, 147)",18
20,VISUAL,"(19, 111)",0,90,59.135437767890075,56,False,False,False,"(0, 167)",90
21,NON_PWD,"(201, 139)",0,90,45.35416188179427,44,False,False,False,"(157, 150)",90
22,NON_PWD,"(51, 139)",0,66,64.81512169239521,52,True,False,False,"(0, 179)",66
23,NON_PWD,"(104, 6)",0,90,80.11242100947892,73,False,False,False,"(71, 79)",90
24,VISUAL,"(151, 109)",0,15,16.97056274847714,12,False,True,False,"(139, 121)",15
25,NON_PWD,"(141, 132)",0,90,82.29823813423954,74,False,False,False,"(68, 170)",90
26,MOTOR,"(41, 78)",0,90,71.02816342831905,58,False,False,False,"(0, 136)",90
27,NON_PWD,"(0, 85)",0,90,58.008620049092706,58,False,False,False,"(1, 143)",90
28,MOTOR,"(143, 79)",0,11,15.556349186104045,11,False,True,False,"(132, 90)",11
29,NON_PWD,"(39, 152)",0,53,47.43416490252569,40,True,False,False,"(0, 179)",53
30,NON_PWD,"(117, 88)",0,90,77.10382610480494,56,False,False,False,"(61, 141)",90
31,NON_PWD,"(169, 67)",0,90,23.853720883753127,20,False,False,False,"(149, 80)",90
32,NON_PWD,"(155, 2)",0,90,19.79898987322333,14,False,False,False,"(141, 16)",90
33,NON_PWD,"(169, 32)",0,90,36.76955262170047,26,False,False,False,"(143, 58)",90
34,NON_PWD,"(172, 71)",0,90,22.135943621178654,21,False,False,False,"(151, 78)",90
35,NON_PWD,"(208, 62)",0,90,69.63476143421474,57,False,False,False,"(151, 102)",90
36,NON_PWD,"(171, 135)",0,90,21.95449840010015,21,False,False,False,"(152, 146)",90
37,NON_PWD,"(166, 44)",0,90,27.65863337187866,21,False,False,False,"(145, 62)",90
38,NON_PWD,"(181, 91)",0,90,38.948684188300895,34,False,False,False,"(147, 110)",90
39,NON_PWD,"(53, 72)",0,90,74.84650960465692,69,False,False,False,"(24, 141)",90
40,NON_PWD,"(212, 164)",0,90,59.665735560705194,58,False,False,False,"(154, 178)",90
41,NON_PWD,"(69, 141)",0,90,65.29931086925804,58,False,False,False,"(11, 171)",90
42,NON_PWD,"(62, 161)",0,81,64.5600495662759,62,True,False,False,"(0, 179)",81
43,NON_PWD,"(122, 4)",0,0,1.4142135623730951,1,False,True,False,"(121, 5)",0
44,NON_PWD,"(172, 7)",0,90,39.59797974644666,28,False,False,False,"(144, 35)",90
45,NON_PWD,"(61, 50)",0,90,80.1311425102625,70,False,False,False,"(22, 120)",90
46,NON_PWD,"(219, 95)",0,90,51.894122981316485,47,False,False,False,"(172, 117)",90
47,NON_PWD,"(126, 168)",0,90,79.76214641043707,79,False,False,False,"(47, 179)",90
48,NON_PWD,"(149, 14)",0,90,5.656854249492381,4,False,False,False,"(145, 18)",90
49,NON_PWD,"(3, 155)",0,24,24.186773244895647,24,True,False,False,"(0, 179)",24
