agent_id,mobility_type,start_pos,start_time,end_time,distance,steps,evacuated,impacted_by_landslide,stuck,final_pos,time_spent
0,NON_PWD,"(180, 42)",0,90,43.278170016764804,36,False,False,False,"(147, 70)",90
1,NON_PWD,"(156, 18)",0,90,15.556349186104045,11,False,False,False,"(145, 29)",90
2,NON_PWD,"(173, 122)",0,90,23.40939982143925,26,False,False,False,"(151, 114)",90
3,NON_PWD,"(37, 93)",0,90,68.15423684555495,63,False,False,False,"(11, 156)",90
4,NON_PWD,"(151, 74)",0,10,12.727922061357855,9,False,True,False,"(142, 83)",10
5,NON_PWD,"(170, 1)",0,90,35.35533905932738,25,False,False,False,"(145, 26)",90
6,NON_PWD,"(21, 49)",0,90,74.04052944165107,71,False,False,False,"(0, 120)",90
7,NON_PWD,"(209, 152)",0,90,62.24146527838174,57,False,False,False,"(152, 177)",90
8,NON_PWD,"(103, 52)",0,90,76.27581530209953,63,False,False,False,"(60, 115)",90
9,MOTOR,"(95, 39)",0,90,55.65968020030299,53,False,False,False,"(78, 92)",90
10,NON_PWD,"(132, 146)",0,90,69.6419413859206,66,False,False,False,"(67, 171)",90
11,NON_PWD,"(160, 17)",0,90,22.627416997969522,16,False,False,False,"(144, 33)",90
12,NON_PWD,"(61, 121)",0,90,75.69015788066504,63,False,False,False,"(6, 173)",90
13,INTELLECTUAL,"(36, 121)",0,90,65.19202405202648,55,False,False,False,"(1, 176)",90
14,NON_PWD,"(117, 29)",0,3,2.8284271247461903,2,False,True,False,"(115, 31)",3
15,NON_PWD,"(124, 0)",0,0,1.4142135623730951,1,False,True,False,"(123, 1)",0
16,NON_PWD,"(150, 43)",0,90,10.295630140987,9,False,False,False,"(141, 48)",90
17,NON_PWD,"(123, 136)",0,90,75.71657678474378,64,False,False,False,"(60, 178)",90
18,NON_PWD,"(145, 73)",0,9,6.082762530298219,6,False,True,False,"(139, 72)",9
19,NON_PWD,"(182, 127)",0,90,31.906112267087632,27,False,False,False,"(155, 110)",90
20,NON_PWD,"(120, 142)",0,90,73.06161783043132,64,False,False,False,"(57, 179)",90
21,NON_PWD,"(1, 72)",0,90,68.00735254367721,68,False,False,False,"(0, 140)",90
22,NON_PWD,"(86, 90)",0,90,86.97700845625813,68,False,False,False,"(25, 152)",90
23,NON_PWD,"(83, 20)",0,90,90.0499861188218,78,False,False,False,"(38, 98)",90
24,NON_PWD,"(20, 99)",0,90,62.369864518050704,61,False,False,False,"(7, 160)",90
25,VISUAL,"(115, 82)",0,90,83.45058418010026,65,False,False,False,"(55, 140)",90
26,NON_PWD,"(20, 50)",0,90,74.72616676907762,72,False,False,False,"(0, 122)",90
27,NON_PWD,"(147, 6)",0,90,12.727922061357855,9,False,False,False,"(138, 15)",90
28,NON_PWD,"(130, 32)",0,4,4.242640687119285,3,False,True,False,"(127, 35)",4
29,NON_PWD,"(100, 2)",0,90,84.20213774008353,68,False,False,False,"(49, 69)",90
30,MOTOR,"(86, 101)",0,90,73.87827826905551,62,False,False,False,"(29, 148)",90
31,NON_PWD,"(125, 7)",0,0,0,0,False,True,False,"(125, 7)",0
32,NON_PWD,"(106, 48)",0,6,8.48528137423857,6,False,True,False,"(100, 54)",6
33,NON_PWD,"(193, 141)",0,90,37.107950630558946,36,False,False,False,"(157, 150)",90
34,NON_PWD,"(155, 129)",0,17,19.235384061671343,17,False,True,False,"(138, 138)",17
35,NON_PWD,"(144, 91)",0,12,10.295630140987,10,False,True,False,"(135, 96)",12
36,NON_PWD,"(191, 175)",0,90,74.10802925459562,74,False,False,False,"(117, 179)",90
37,NON_PWD,"(84, 23)",0,90,74.30343195303969,67,False,False,False,"(48, 88)",90
38,NON_PWD,"(118, 148)",0,90,63.953107821277925,62,False,False,False,"(61, 177)",90
39,NON_PWD,"(50, 123)",0,84,75.07329751649384,56,True,False,False,"(0, 179)",84
40,NON_PWD,"(131, 80)",0,90,80.15609770940699,61,False,False,False,"(70, 132)",90
41,NON_PWD,"(150, 32)",0,90,8.48528137423857,6,False,False,False,"(144, 38)",90
42,VISUAL,"(168, 37)",0,90,35.35533905932738,25,False,False,False,"(143, 62)",90
43,NON_PWD,"(117, 88)",0,90,87.32124598286491,67,False,False,False,"(50, 144)",90
44,NON_PWD,"(99, 103)",0,90,85.27602242131137,66,False,False,False,"(33, 157)",90
45,NON_PWD,"(99, 101)",0,90,77.23341245859851,60,False,False,False,"(41, 152)",90
46,NON_PWD,"(154, 33)",0,90,19.79898987322333,14,False,False,False,"(140, 47)",90
47,NON_PWD,"(142, 121)",0,16,15.0,12,False,True,False,"(130, 130)",16
48,NON_PWD,"(27, 53)",0,90,71.30918594402827,66,False,False,False,"(0, 119)",90
49,NON_PWD,"(12, 97)",0,90,62.12889826803627,62,False,False,False,"(8, 159)",90
50,NON_PWD,"(161, 4)",0,90,31.144823004794873,23,False,False,False,"(140, 27)",90
51,NON_PWD,"(40, 139)",0,57,56.568542494923804,41,True,False,False,"(0, 179)",57
52,NON_PWD,"(126, 79)",0,90,93.50935782048768,70,False,False,False,"(56, 141)",90
53,INTELLECTUAL,"(143, 93)",0,12,8.94427190999916,8,False,True,False,"(135, 97)",12
54,NON_PWD,"(63, 128)",0,77,81.05553651663777,64,True,False,False,"(0, 179)",77
55,NON_PWD,"(79, 128)",0,90,82.15229759416349,70,False,False,False,"(9, 171)",90
56,NON_PWD,"(130, 6)",0,1,2.8284271247461903,2,False,True,False,"(128, 8)",1
57,NON_PWD,"(125, 115)",0,90,79.47955712005447,74,False,False,False,"(51, 144)",90
58,NON_PWD,"(93, 112)",0,90,93.00537618869137,75,False,False,False,"(18, 167)",90
59,NON_PWD,"(85, 18)",0,90,83.24061508662703,73,False,False,False,"(45, 91)",90
60,INTELLECTUAL,"(25, 111)",0,90,65.92419889539804,61,False,False,False,"(0, 172)",90
61,NON_PWD,"(5, 147)",0,34,32.38826948140329,32,True,False,False,"(0, 179)",34
62,NON_PWD,"(127, 29)",0,4,5.656854249492381,4,False,True,False,"(123, 33)",4
63,NON_PWD,"(158, 148)",0,18,15.132745950421556,15,False,True,False,"(143, 146)",18
64,NON_PWD,"(146, 103)",0,13,13.0,12,False,True,False,"(134, 108)",13
65,VISUAL,"(94, 1)",0,90,76.55063683601855,64,False,False,False,"(52, 65)",90
66,NON_PWD,"(0, 118)",0,78,61.0,61,True,False,False,"(0, 179)",78
67,NON_PWD,"(2, 112)",0,79,67.02984409947557,67,True,False,False,"(0, 179)",79
68,MOTOR,"(140, 70)",0,9,9.219544457292887,9,False,True,False,"(131, 72)",9
69,NON_PWD,"(166, 5)",0,90,31.11269837220809,22,False,False,False,"(144, 27)",90
70,NON_PWD,"(77, 11)",0,90,113.21660655575224,83,False,False,False,"(0, 94)",90
71,NON_PWD,"(67, 8)",0,90,105.89145385724005,82,False,False,False,"(0, 90)",90
72,NON_PWD,"(170, 26)",0,90,35.0,28,False,False,False,"(142, 47)",90
73,NON_PWD,"(159, 98)",0,14,21.213203435596427,15,False,True,False,"(144, 113)",14
74,NON_PWD,"(141, 120)",0,16,18.35755975068582,16,False,True,False,"(125, 129)",16
75,NON_PWD,"(55, 20)",0,90,100.40418317978589,84,False,False,False,"(0, 104)",90
76,NON_PWD,"(44, 51)",0,90,82.68010643437755,70,False,False,False,"(0, 121)",90
77,NON_PWD,"(72, 20)",0,90,63.90618123468183,61,False,False,False,"(50, 80)",90
78,NON_PWD,"(168, 7)",0,90,33.94112549695428,24,False,False,False,"(144, 31)",90
79,MOTOR,"(3, 120)",0,72,59.07622195096772,59,True,False,False,"(0, 179)",72
80,VISUAL,"(37, 154)",0,53,44.654227123532216,38,True,False,False,"(0, 179)",53
81,NON_PWD,"(139, 49)",0,6,6.4031242374328485,5,False,True,False,"(135, 54)",6
82,NON_PWD,"(89, 106)",0,90,92.19544457292888,75,False,False,False,"(19, 166)",90
83,NON_PWD,"(168, 57)",0,90,31.11269837220809,22,False,False,False,"(146, 79)",90
84,NON_PWD,"(49, 58)",0,90,80.00624975587844,76,False,False,False,"(24, 134)",90
85,NON_PWD,"(32, 72)",0,90,74.24957912338628,67,False,False,False,"(0, 139)",90
86,NON_PWD,"(150, 63)",0,8,9.899494936611665,7,False,True,False,"(143, 70)",8
87,NON_PWD,"(68, 164)",0,90,67.68308503607086,66,False,False,False,"(2, 179)",90
88,NON_PWD,"(210, 77)",0,90,65.7419196555744,59,False,False,False,"(151, 106)",90
89,NON_PWD,"(85, 7)",0,90,73.824115301167,65,False,False,False,"(50, 72)",90
90,NON_PWD,"(192, 47)",0,90,51.03920062069938,42,False,False,False,"(150, 76)",90
91,NON_PWD,"(90, 105)",0,90,92.19544457292888,75,False,False,False,"(20, 165)",90
92,MOTOR,"(63, 20)",0,90,89.09545442950498,63,False,False,False,"(0, 83)",90
93,NON_PWD,"(133, 53)",0,7,8.54400374531753,8,False,True,False,"(130, 61)",7
94,NON_PWD,"(93, 70)",0,90,86.83317338436964,72,False,False,False,"(39, 138)",90
95,NON_PWD,"(211, 129)",0,90,43.32435804486894,41,False,False,False,"(170, 115)",90
96,NON_PWD,"(80, 44)",0,90,72.53275122315436,70,False,False,False,"(61, 114)",90
97,NON_PWD,"(32, 65)",0,90,75.15317691222374,68,False,False,False,"(0, 133)",90
98,NON_PWD,"(128, 28)",0,3,4.242640687119285,3,False,True,False,"(125, 31)",3
99,NON_PWD,"(155, 17)",0,90,14.142135623730951,10,False,False,False,"(145, 27)",90
100,NON_PWD,"(22, 105)",0,90,66.73080248281148,63,False,False,False,"(0, 168)",90
101,NON_PWD,"(86, 82)",0,90,88.61715409558128,70,False,False,False,"(28, 149)",90
102,NON_PWD,"(101, 119)",0,90,77.52418977325722,67,False,False,False,"(34, 158)",90
103,NON_PWD,"(108, 140)",0,90,79.25906888173743,70,False,False,False,"(39, 179)",90
104,NON_PWD,"(144, 45)",0,6,8.48528137423857,6,False,True,False,"(138, 51)",6
105,NON_PWD,"(16, 98)",0,90,64.93843238021688,64,False,False,False,"(5, 162)",90
106,NON_PWD,"(165, 104)",0,90,22.80350850198276,18,False,False,False,"(147, 118)",90
107,NON_PWD,"(164, 3)",0,90,32.526911934581186,23,False,False,False,"(141, 26)",90
108,NON_PWD,"(4, 129)",0,58,50.15974481593781,50,True,False,False,"(0, 179)",58
109,NON_PWD,"(75, 101)",0,90,85.56284240252891,65,False,False,False,"(15, 162)",90
110,NON_PWD,"(185, 35)",0,90,48.83646178829912,39,False,False,False,"(149, 68)",90
111,NON_PWD,"(6, 113)",0,80,66.27216610312357,66,True,False,False,"(0, 179)",80
112,NON_PWD,"(218, 93)",0,90,52.32590180780452,47,False,False,False,"(171, 116)",90
113,NON_PWD,"(69, 69)",0,90,71.69379331573968,69,False,False,False,"(41, 135)",90
114,NON_PWD,"(147, 60)",0,8,9.219544457292887,7,False,True,False,"(141, 67)",8
115,NON_PWD,"(53, 68)",0,90,78.54934754662193,73,False,False,False,"(24, 141)",90
116,NON_PWD,"(30, 68)",0,90,72.49827584156743,66,False,False,False,"(0, 134)",90
117,NON_PWD,"(68, 116)",0,90,84.29116205154607,68,False,False,False,"(5, 172)",90
118,NON_PWD,"(191, 58)",0,90,43.46262762420146,40,False,False,False,"(151, 75)",90
119,NON_PWD,"(45, 134)",0,63,63.63961030678928,46,True,False,False,"(0, 179)",63
120,NON_PWD,"(214, 148)",0,90,67.54257916307313,61,False,False,False,"(153, 177)",90
121,NON_PWD,"(182, 65)",0,90,53.81449618829484,40,False,False,False,"(146, 105)",90
122,INTELLECTUAL,"(219, 53)",0,90,86.6083136886985,70,False,False,False,"(149, 104)",90
123,NON_PWD,"(44, 29)",0,90,93.94147114027967,83,False,False,False,"(0, 112)",90
124,NON_PWD,"(206, 161)",0,90,53.14132102234569,50,False,False,False,"(156, 179)",90
125,NON_PWD,"(27, 117)",0,73,67.62396025078685,62,True,False,False,"(0, 179)",73
126,NON_PWD,"(172, 27)",0,90,42.44997055358225,31,False,False,False,"(143, 58)",90
127,MOTOR,"(60, 145)",0,85,68.96375859826666,62,True,False,False,"(0, 179)",85
128,NON_PWD,"(207, 176)",0,90,75.02666192761077,75,False,False,False,"(132, 174)",90
129,NON_PWD,"(176, 114)",0,90,24.020824298928627,24,False,False,False,"(152, 113)",90
130,NON_PWD,"(56, 105)",0,90,82.80096617793781,66,False,False,False,"(6, 171)",90
131,NON_PWD,"(79, 134)",0,90,78.29431652425353,69,False,False,False,"(10, 171)",90
132,VISUAL,"(136, 14)",0,2,2.8284271247461903,2,False,True,False,"(134, 16)",2
133,NON_PWD,"(20, 58)",0,90,70.8801805866774,68,False,False,False,"(0, 126)",90
134,NON_PWD,"(158, 49)",0,90,19.79898987322333,14,False,False,False,"(144, 63)",90
135,NON_PWD,"(134, 87)",0,90,82.41965784932621,67,False,False,False,"(67, 135)",90
136,NON_PWD,"(64, 55)",0,90,87.65842800324451,78,False,False,False,"(24, 133)",90
137,NON_PWD,"(18, 165)",0,27,22.80350850198276,19,True,False,False,"(0, 179)",27
138,NON_PWD,"(127, 9)",0,1,2.8284271247461903,2,False,True,False,"(125, 11)",1
139,NON_PWD,"(49, 138)",0,70,63.89053137985315,50,True,False,False,"(0, 179)",70
